"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\App.js", "JavaScript", 2, 0, 0, 0, 2
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\AdminDashboard.js", "JavaScript", 12, 0, 0, 0, 12
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\AdminReservations.js", "JavaScript", 168, 0, 3, 25, 196
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\AdminUsers.js", "JavaScript", 1, 0, 0, 0, 1
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\BookDetails.js", "JavaScript", 1, 0, 0, 0, 1
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Categories.js", "JavaScript", 1, 0, 0, 0, 1
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Category.js", "JavaScript", -1, 0, 0, 0, -1
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\DelayedBooks.js", "JavaScript", 14, 0, 0, 1, 15
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Navbar.css", "CSS", 0, 7, -2, 1, 6
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Reservations.css", "CSS", 0, 6, 0, 0, 6
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Reservations.js", "JavaScript", 13, 0, 0, 0, 13
"Total", "-", 211, 13, 1, 27, 252